iter	Passed	Remaining
0	0	88
1	1	79
2	2	74
3	2	68
4	3	66
5	4	66
6	5	69
7	6	69
8	7	71
9	7	70
10	8	69
11	9	70
12	10	70
13	11	69
14	12	69
15	12	67
16	13	67
17	14	66
18	15	64
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	21	57
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	26	52
33	26	52
34	27	51
35	28	50
36	29	50
37	30	49
38	31	48
39	32	48
40	32	47
41	33	45
42	34	45
43	34	44
44	35	43
45	36	43
46	37	42
47	38	41
48	39	40
49	40	40
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	49	29
63	50	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	57	21
73	57	20
74	58	19
75	59	18
76	60	17
77	61	17
78	61	16
79	62	15
80	63	14
81	64	14
82	65	13
83	66	12
84	67	11
85	67	11
86	68	10
87	69	9
88	70	8
89	71	7
90	71	7
91	72	6
92	73	5
93	73	4
94	74	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
